time,height
53.6,7469.24
53.7,7497.11
53.8,7525.03
53.9,7553.01
54,7581.03
54.1,7609.11
54.2,7637.24
54.3,7665.42
54.4,7693.66
54.5,7721.94
54.6,7750.28
54.7,7778.67
54.8,7807.11
54.9,7835.6
55,7864.15
55.1,7892.74
55.2,7921.39
55.3,7950.09
55.4,7978.85
55.5,8007.65
55.6,8036.51
55.7,8065.42
55.8,8094.38
55.9,8123.39
56,8152.45
56.1,8181.57
56.2,8210.74
56.3,8239.96
56.4,8269.23
56.5,8298.55
56.6,8327.93
56.7,8357.35
56.8,8386.83
56.9,8416.36
57,8445.95
57.1,8475.58
57.2,8505.27
57.3,8535.01
57.4,8564.8
57.5,8594.64
57.6,8624.53
57.7,8654.48
57.8,8684.48
57.9,8714.53
58,8744.63
58.1,8774.78
58.2,8804.99
58.3,8835.25
58.4,8865.56
58.5,8895.92
58.6,8926.33
58.7,8956.8
58.8,8987.32
58.9,9017.88
59,9048.51
59.1,9079.18
59.2,9109.9
59.3,9140.68
59.4,9171.51
59.5,9202.39
59.6,9233.32
59.7,9264.31
59.8,9295.34
59.9,9326.43
60,9357.57
60.1,9388.76
60.2,9420.01
60.3,9451.3
60.4,9482.65
60.5,9514.05
60.6,9545.5
60.7,9577
60.8,9608.56
60.9,9640.17
61,9671.82
61.1,9703.54
61.2,9735.3
61.3,9767.11
61.4,9798.98
61.5,9830.9
61.6,9862.87
61.7,9894.89
61.8,9926.96
61.9,9959.09
62,9991.27
62.1,10023.5
62.2,10055.8
62.3,10088.1
62.4,10120.5
62.5,10152.9
62.6,10185.4
62.7,10218
62.8,10250.6
62.9,10283.2
63,10315.9
63.1,10348.7
63.2,10381.5
63.3,10414.3
63.4,10447.2
63.5,10480.2
63.6,10513.2
63.7,10546.2
63.8,10579.3
63.9,10612.5
64,10645.7
64.1,10679
64.2,10712.3
64.3,10745.7
64.4,10779.1
64.5,10812.6
64.6,10846.1
64.7,10879.7
64.8,10913.3
64.9,10947
65,10980.7
65.1,11014.5
65.2,11048.4
65.3,11082.3
65.4,11116.2
65.5,11150.2
65.6,11184.2
65.7,11218.3
65.8,11252.5
65.9,11286.7
66,11320.9
66.1,11355.3
66.2,11389.6
66.3,11424
66.4,11458.5
66.5,11493
66.6,11527.6
66.7,11562.2
66.8,11596.8
66.9,11631.6
67,11666.3
67.1,11701.2
67.2,11736
67.3,11771
67.4,11806
67.5,11841
67.6,11876.1
67.7,11911.2
67.8,11946.4
67.9,11981.6
68,12016.9
68.1,12052.3
68.2,12087.7
68.3,12123.1
68.4,12158.6
68.5,12194.2
68.6,12229.8
68.7,12265.4
68.8,12301.1
68.9,12336.9
69,12372.7
69.1,12408.6
69.2,12444.5
69.3,12480.4
69.4,12516.5
69.5,12552.5
69.6,12588.7
69.7,12624.8
69.8,12661.1
69.9,12697.3
70,12733.7
70.1,12770
70.2,12806.5
70.3,12843
70.4,12879.5
70.5,12916.1
70.6,12952.7
70.7,12989.4
70.8,13026.2
70.9,13063
71,13099.8
71.1,13136.7
71.2,13173.7
71.3,13210.7
71.4,13247.7
